district_code,district_name,income,genre,age,occupation,house_members,has_connection,has_connection_bcn,level_of_education,house_devices,longitude,latitude,educational_ocupational_index,educational_ocupational_index_district
8,Nou Barris,1,1,51,1,3,1,0,2,4.0,2.1803428,41.4485324,0.0008521596296931675,0.5367971980868633
2,Eixample,5,2,29,1,3,1,6,5,5.0,2.1646374,41.3995815,1.0,0.8878823968558166
2,Eixample,5,1,24,2,3,1,0,5,6.0,2.1682227,41.3974087,1.0,0.8878823968558166
2,Eixample,5,2,39,1,4,2,0,5,3.0,2.1511035,41.4057097,1.0,0.8878823968558166
4,Les Corts,4,2,77,3,4,1,0,3,8.0,2.1303565,41.3908393,0.6000012613731739,0.9253424656411553
8,Nou Barris,1,2,89,3,1,2,0,2,0.0,2.1724996,41.4322209,1.4110171226310462e-08,0.5367971980868633
1,Ciutat Vella,3,2,51,2,4,1,0,3,10.0,2.1815288,41.3866768,0.4008521795013952,0.8158578144146168
2,Eixample,5,2,30,1,4,1,0,5,9.0,2.1643076,41.3913016,1.0,0.8878823968558166
8,Nou Barris,1,1,34,1,2,1,0,5,4.0,2.1671068,41.430623,1.0,0.5367971980868633
3,Sants - Montjuïc,2,2,25,5,2,1,0,2,5.0,2.130681,41.3869068,0.7668398517059958,0.7650847388191471
7,Horta - Guinardó,2,2,32,1,1,1,0,5,2.0,2.1755571,41.4478627,1.0,0.7287387223780619
8,Nou Barris,1,2,78,3,1,1,0,3,2.0,2.1726085,41.4341147,9.481552575554176e-07,0.5367971980868633
4,Les Corts,4,2,19,5,4,1,0,3,11.0,2.1269386,41.3795546,1.0,0.9253424656411553
5,Sarrià - Sant Gervasi,5,1,29,1,2,1,0,4,6.0,2.1501467,41.3983335,1.0,0.9710576839202464
6,Gràcia,3,2,51,1,2,2,0,3,4.0,2.1384027,41.4202833,0.4008521795013952,0.8773520558287237
6,Gràcia,3,1,28,1,4,1,6,5,8.0,2.1634244,41.4042768,1.0,0.8773520558287237
1,Ciutat Vella,3,2,52,1,1,1,4,3,3.0,2.177292,41.3794256,0.4006636714695967,0.8158578144146168
8,Nou Barris,1,2,40,2,2,1,0,5,5.0,2.1832615,41.4409322,1.0,0.5367971980868633
3,Sants - Montjuïc,2,1,36,1,3,1,0,3,4.0,2.1405254,41.3604657,0.23623682216359856,0.7650847388191471
8,Nou Barris,1,1,63,1,2,1,0,3,8.0,2.1771291,41.4596337,4.2379323873297825e-05,0.5367971980868633
